trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
128,False,"{'a': 0.5, 'e': 0.20000000000000262}",25,10,24.783816873108655,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.19375000000000261}",25,3,-12.305302351117255,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 1}",1
130,False,"{'a': 0.5, 'e': 0.1875000000000026}",20,7,25.77348161943292,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.1812500000000026}",25,7,25.587452278070586,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.1750000000000026}",25,18,16.551755308436917,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.1687500000000026}",20,12,-11.156953348298408,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.1625000000000026}",20,3,9.27569711028832,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.15625000000000258}",25,8,23.35026833283998,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.15000000000000258}",25,17,-26.836461888034034,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
137,False,"{'a': 0.5, 'e': 0.14375000000000257}",25,20,7.571361387684548,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.13750000000000256}",30,16,25.856540690547792,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.13125000000000256}",25,12,27.87897356999499,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.12500000000000255}",35,17,12.190002724396194,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.11875000000000255}",20,2,13.366494147736901,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.11250000000000254}",35,23,23.08288841873337,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.10625000000000254}",25,13,12.481637419211918,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.10000000000000253}",20,6,0.8798739731769327,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.09375000000000253}",20,12,12.18940987218844,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.08750000000000252}",25,0,36.62380253956725,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.08125000000000251}",20,12,13.907051202825501,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.07500000000000251}",20,8,24.71283506382932,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.0687500000000025}",30,16,29.877306233271554,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.0625000000000025}",20,8,12.446739839956109,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.0562500000000025}",25,13,20.519910168234688,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.0500000000000025}",25,9,30.570009377491346,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.0437500000000025}",25,11,23.26093885314058,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,8,26.168169765330383,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,5,23.304299101326553,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,20,8.501057139712,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,13,20.804430745017022,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,13,12.462524128863903,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",35,16,34.68898634295585,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,10,17.399917074676523,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,16,8.952157114850538,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,8,31.52574973630222,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,7,19.352393745090623,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
