trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.5, 'e': 0.9588496310845509}",30,0,-105.77176861414773,"{0: 17, 1: 4, 2: 8, 3: 1, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.9578907814534663}",25,0,-184.30798998710526,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
45,False,"{'a': 0.5, 'e': 0.9569328906720129}",20,0,-71.15571264574442,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.9559759577813408}",20,0,-81.09788266336861,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.9550199818235595}",25,11,-19.008875460005115,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.954064961841736}",20,1,-47.973398596298864,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.9531108968798943}",20,0,-179.041080820793,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.9521577859830144}",20,0,-114.54385068115471,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.9512056281970314}",25,0,-202.66155640264702,"{0: 11, 1: 3, 2: 8, 3: 0, 4: 3}",0
52,False,"{'a': 0.5, 'e': 0.9502544225688343}",25,0,-165.88282420904684,"{0: 15, 1: 1, 2: 4, 3: 3, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.9493041681462654}",20,0,-136.6982689050632,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.9483548639781192}",30,0,-124.78583352385994,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.947406509114141}",25,0,-62.02878106940164,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.9464591026050269}",20,0,-63.311191644539,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.9455126435024219}",25,1,-132.097179459113,"{0: 10, 1: 4, 2: 9, 3: 0, 4: 1}",1
58,False,"{'a': 0.5, 'e': 0.9445671308589194}",30,0,-205.8565934773584,"{0: 17, 1: 4, 2: 5, 3: 0, 4: 4}",0
59,False,"{'a': 0.5, 'e': 0.9436225637280605}",25,0,-171.5627340846664,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
60,False,"{'a': 0.5, 'e': 0.9426789411643325}",20,10,-26.2722904600305,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.9417362622231682}",20,0,-80.82822097300281,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.9407945259609449}",20,3,-69.50306305458514,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 1}",1
63,False,"{'a': 0.5, 'e': 0.9398537314349841}",20,0,-125.78440445534387,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.9389138777035491}",25,0,-85.46671233819012,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.9379749638258454}",20,0,-60.772871678912665,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.9370369888620197}",20,0,-86.75139145614423,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.9360999518731576}",30,0,-161.00849180577424,"{0: 15, 1: 2, 2: 11, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.9351638519212845}",20,0,-82.73223772408065,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.9342286880693632}",20,0,-160.95988710297235,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
70,False,"{'a': 0.5, 'e': 0.9332944593812939}",30,0,-173.8381641428338,"{0: 14, 1: 6, 2: 8, 3: 0, 4: 2}",0
71,False,"{'a': 0.5, 'e': 0.9323611649219126}",20,0,-75.90069185132576,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.9314288037569907}",20,0,-39.0981271187642,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.9304973749532336}",20,0,-83.68001999247798,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.9295668775782804}",20,0,-91.17227136244351,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
