trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.996875}",20,0,-82.65819688141372,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9937499999999999}",20,0,-105.44926460719999,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9906249999999999}",25,0,-107.06648353558816,"{0: 20, 1: 0, 2: 1, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9874999999999998}",20,0,-185.86150003445402,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9843749999999998}",20,0,-76.44232789770825,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9812499999999997}",35,0,-334.7398333612703,"{0: 16, 1: 3, 2: 8, 3: 3, 4: 5}",0
7,False,"{'a': 0.5, 'e': 0.9781249999999997}",20,11,-17.9401805429716,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.9749999999999996}",25,0,-229.83106444618443,"{0: 12, 1: 1, 2: 6, 3: 3, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.9718749999999996}",25,0,-76.30896823466941,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9687499999999996}",25,0,-128.71110741046414,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9656249999999995}",25,0,-76.09157193605415,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9624999999999995}",20,0,-72.59920892689004,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9593749999999994}",25,0,-20.40417373651862,"{0: 18, 1: 6, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9562499999999994}",20,0,-174.81827509609957,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9531249999999993}",25,0,-24.349646793632118,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9499999999999993}",30,0,-177.17848001089254,"{0: 19, 1: 4, 2: 2, 3: 2, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.9468749999999992}",20,0,-96.5393480703021,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9437499999999992}",25,0,-185.2511994660278,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.9406249999999992}",25,0,-122.57239880784489,"{0: 12, 1: 3, 2: 8, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9374999999999991}",25,0,-164.51106103963784,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9343749999999991}",25,0,-139.929596418314,"{0: 12, 1: 4, 2: 5, 3: 4, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.931249999999999}",20,0,-80.48588296178718,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.928124999999999}",20,0,-73.26918717462516,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.9249999999999989}",25,0,-139.1103773907341,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9218749999999989}",20,0,-60.832272264026486,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.9187499999999988}",30,9,-54.74662574187956,"{0: 13, 1: 4, 2: 2, 3: 2, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.9156249999999988}",25,0,-80.17986883879925,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.9124999999999988}",20,0,-73.83263392970555,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.9093749999999987}",20,0,-61.7895956389816,"{0: 11, 1: 6, 2: 2, 3: 1, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.9062499999999987}",25,0,-143.49500908593288,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.9031249999999986}",25,0,-97.46487951372782,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.8999999999999986}",25,0,-164.32447783928572,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.8968749999999985}",25,0,-44.037708816669486,"{0: 19, 1: 3, 2: 1, 3: 2, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.8937499999999985}",25,0,-182.99563371614363,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 4}",0
35,False,"{'a': 0.5, 'e': 0.8906249999999984}",25,0,-120.03459099251798,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.8874999999999984}",25,0,-129.73665391222536,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.8843749999999984}",20,0,-99.29759672135063,"{0: 6, 1: 7, 2: 7, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.8812499999999983}",25,0,-93.31415418581174,"{0: 16, 1: 2, 2: 4, 3: 3, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.8781249999999983}",25,0,-212.81819490315047,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 4}",0
40,False,"{'a': 0.5, 'e': 0.8749999999999982}",25,17,-32.35652226884572,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.8718749999999982}",30,0,-142.32753485743743,"{0: 18, 1: 6, 2: 3, 3: 1, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.8687499999999981}",20,3,-13.274476096571545,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.8656249999999981}",20,0,-114.87261547181048,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.862499999999998}",25,0,-148.23282473479125,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.859374999999998}",20,9,-29.17523337150587,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.856249999999998}",25,0,-57.792305529100936,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.8531249999999979}",20,12,-39.61301741415773,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
48,False,"{'a': 0.5, 'e': 0.8499999999999979}",35,2,-111.83403818959151,"{0: 22, 1: 4, 2: 4, 3: 2, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.8468749999999978}",25,0,-192.82787460843286,"{0: 15, 1: 3, 2: 2, 3: 1, 4: 4}",0
50,False,"{'a': 0.5, 'e': 0.8437499999999978}",35,15,-39.899740570376224,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.8406249999999977}",25,0,-156.15744579785962,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.8374999999999977}",20,0,-78.44313884060023,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.8343749999999976}",30,0,-108.6320346537458,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.8312499999999976}",25,0,-281.87053515116037,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 5}",0
55,False,"{'a': 0.5, 'e': 0.8281249999999976}",25,0,-86.42126934613047,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.8249999999999975}",20,0,-30.08618161442997,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.8218749999999975}",20,0,-177.07704685571161,"{0: 6, 1: 3, 2: 9, 3: 0, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.8187499999999974}",20,2,-14.384644896649966,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.8156249999999974}",20,0,-54.10138657992127,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.8124999999999973}",25,2,-105.88325579782278,"{0: 12, 1: 6, 2: 3, 3: 1, 4: 1}",1
61,False,"{'a': 0.5, 'e': 0.8093749999999973}",30,0,-165.15261751514944,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
62,False,"{'a': 0.5, 'e': 0.8062499999999972}",25,0,-126.10903116357889,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.8031249999999972}",25,0,-65.80597081316154,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.7999999999999972}",25,0,-57.163111540408536,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.7968749999999971}",20,0,-114.60933138762498,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
66,False,"{'a': 0.5, 'e': 0.7937499999999971}",25,0,-208.67781705722172,"{0: 14, 1: 1, 2: 4, 3: 3, 4: 3}",0
67,False,"{'a': 0.5, 'e': 0.790624999999997}",20,0,-90.35128447097168,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.787499999999997}",20,0,-80.62316415998978,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.7843749999999969}",25,0,-128.1643884767046,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
70,False,"{'a': 0.5, 'e': 0.7812499999999969}",25,0,-85.58759143553036,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.7781249999999968}",20,0,-64.951117378384,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.7749999999999968}",20,0,-10.813323321634055,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.7718749999999968}",20,0,-71.13135923990677,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.7687499999999967}",20,0,-57.627222952733135,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.7656249999999967}",30,0,-80.18107031581137,"{0: 23, 1: 0, 2: 5, 3: 1, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.7624999999999966}",20,12,-14.462021209522739,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.7593749999999966}",20,12,7.560886071515055,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.7562499999999965}",30,0,-196.664787549766,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
79,False,"{'a': 0.5, 'e': 0.7531249999999965}",25,5,-32.57608755208405,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.7499999999999964}",20,0,-87.31516836152228,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.7468749999999964}",30,0,-34.739076138364496,"{0: 22, 1: 4, 2: 4, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.7437499999999964}",20,0,-88.17361391794677,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.7406249999999963}",20,0,-58.029984234045095,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.7374999999999963}",30,0,-67.8084010860121,"{0: 21, 1: 2, 2: 5, 3: 2, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.7343749999999962}",25,0,-109.20541525021584,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
86,False,"{'a': 0.5, 'e': 0.7312499999999962}",30,0,-94.52259538804309,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
87,False,"{'a': 0.5, 'e': 0.7281249999999961}",20,4,-1.8252311804014463,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.7249999999999961}",20,0,-70.17796515142362,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.721874999999996}",25,6,-4.381852792600097,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.718749999999996}",30,0,-91.00308066388025,"{0: 19, 1: 5, 2: 5, 3: 0, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.715624999999996}",25,10,-16.278658968566987,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
92,False,"{'a': 0.5, 'e': 0.7124999999999959}",30,0,-42.4308952884287,"{0: 22, 1: 4, 2: 3, 3: 1, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.7093749999999959}",20,11,-16.416915138922416,"{0: 6, 1: 2, 2: 0, 3: 1, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.7062499999999958}",30,3,-4.265544071104543,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.7031249999999958}",30,0,-144.92005348491074,"{0: 23, 1: 1, 2: 1, 3: 2, 4: 3}",0
96,False,"{'a': 0.5, 'e': 0.6999999999999957}",30,9,-85.73070266652742,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 1}",1
97,False,"{'a': 0.5, 'e': 0.6968749999999957}",20,0,-55.86770686368059,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.6937499999999956}",20,0,-21.62164878828219,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.6906249999999956}",25,1,-40.706341109879325,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 1}",1
100,False,"{'a': 0.5, 'e': 0.6874999999999956}",20,0,16.07872430280766,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.6843749999999955}",30,0,-152.07303256482504,"{0: 22, 1: 2, 2: 1, 3: 2, 4: 3}",0
102,False,"{'a': 0.5, 'e': 0.6812499999999955}",30,0,-136.23070737065345,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
103,False,"{'a': 0.5, 'e': 0.6781249999999954}",20,6,-54.090473455142984,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 1}",1
